key,value
name,Celeste Vance
title,Creative Operations & System Architect
portfolioLabel,Celeste Vance / Portfolio
heroEyebrow,High-Performance Assistance
heroTitleLine1,Digital
heroTitleLine2,Concierge & Ops
bio,"Hi, I'm Celeste. Bringing high-fidelity structure, aesthetic calm, and seamless automation to scaling creative directors, coaches, and luxury boutique agencies. I architect relational workspaces, triage inbox chaos, and keep your publishing consistent."
metric1Value,6+ Years
metric1Label,Dedicated Support
metric2Value,120+ Systems
metric2Label,Launched & Automated
metric3Value,350k+ Hours
metric3Label,Reclaimed for Clients
locationBadge,Based in Europe & Remote
profileBadge,Principal VA
quote,I construct workflows that allow creative leaders to trade operational anxiety for structured space to innovate.
statusText,Accepting Clients
statusSubtext,"Servicing creative directors, designers, and scaling coaches globally."
footerTagline,Celeste Vance / Digital Operations
footerLocation,Based in Paris & Serving Clients Globally
copyright,© 2026 Celeste Vance. Meticulously Structured.
linkedinUrl,https://linkedin.com
instagramUrl,https://instagram.com
substackUrl,https://substack.com
